"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 06 10:33:59 MSK 2024","Thu Jun 06 10:33:59 MSK 2024","0","tests.use_cases","test_switch_currencies_catalog","","","","При переключении валют цены на товары меняются в каталоге",""
"passed","Thu Jun 06 10:33:11 MSK 2024","Thu Jun 06 10:33:17 MSK 2024","5634","tests.use_cases","test_login","","","","Авторизация администратором",""
"broken","Thu Jun 06 10:33:59 MSK 2024","Thu Jun 06 10:33:59 MSK 2024","0","tests.use_cases","test_switch_currencies_home_page","","","","При переключении валют цены на товары меняются на главной",""
"passed","Thu Jun 06 10:32:45 MSK 2024","Thu Jun 06 10:32:52 MSK 2024","7159","tests.use_cases","test_delete_product","","","","Удаление товара из списка в разделе администратора",""
"passed","Thu Jun 06 10:31:07 MSK 2024","Thu Jun 06 10:31:46 MSK 2024","38300","tests.use_cases","test_add_product","","","","Добавление нового товара в разделе администратора",""
"broken","Thu Jun 06 10:33:59 MSK 2024","Thu Jun 06 10:33:59 MSK 2024","0","tests.use_cases","test_switch_currencies_home_page","","","","При переключении валют цены на товары меняются на главной",""
"broken","Thu Jun 06 10:33:59 MSK 2024","Thu Jun 06 10:33:59 MSK 2024","0","tests.use_cases","test_switch_currencies_catalog","","","","При переключении валют цены на товары меняются в каталоге",""
"passed","Thu Jun 06 10:33:35 MSK 2024","Thu Jun 06 10:33:42 MSK 2024","7107","tests.use_cases","test_registration","","","","Регистрация нового пользователя",""
"passed","Thu Jun 06 10:32:06 MSK 2024","Thu Jun 06 10:32:13 MSK 2024","7030","tests.use_cases","test_add_to_cart","","","","Добавление рандомного товара в корзину с главной страницы",""
